speaker,segment,repetition,frame,coord,point,pixel
1,s,1,4,x,27,254.12
1,s,1,4,x,28,257.37
1,s,1,4,x,29,260.65
1,s,1,4,x,30,264.05
1,s,1,4,x,31,267.44
1,s,1,4,x,32,270.85
1,s,1,4,x,33,274.29
1,s,1,4,x,34,277.74
1,s,1,4,x,35,281.18
1,s,1,4,x,36,284.64
1,s,1,4,x,37,288.09
1,s,1,4,x,38,291.54
1,s,1,4,x,39,295.06
1,s,1,4,x,40,298.58
1,s,1,4,x,41,302.11
1,s,1,4,x,42,305.71
1,s,1,4,x,43,309.32
1,s,1,4,x,44,312.94
1,s,1,4,x,45,316.56
1,s,1,4,x,46,320.18
1,s,1,4,x,47,323.81
1,s,1,4,x,48,327.44
1,s,1,4,x,49,331.07
1,s,1,4,x,50,334.7
1,s,1,4,x,51,338.33
1,s,1,4,x,52,341.94
1,s,1,4,x,53,345.55
1,s,1,4,x,54,349.17
1,s,1,4,x,55,352.78
1,s,1,4,x,56,356.39
1,s,1,4,x,57,359.99
1,s,1,4,x,58,363.55
1,s,1,4,x,59,367.11
1,s,1,4,x,60,370.66
1,s,1,4,x,61,374.11
1,s,1,4,x,62,377.57
1,s,1,4,x,63,381.01
1,s,1,4,x,64,384.37
1,s,1,4,x,65,387.73
1,s,1,4,x,66,391.09
1,s,1,4,x,67,394.41
1,s,1,4,x,68,397.74
1,s,1,4,x,69,401.06
1,s,1,4,x,70,404.48
1,s,1,4,x,71,407.9
1,s,1,4,x,72,411.32
1,s,1,4,x,73,414.79
1,s,1,4,x,74,418.26
1,s,1,4,x,75,421.74
1,s,1,4,x,76,425.27
1,s,1,4,x,77,428.82
1,s,1,4,x,78,432.37
1,s,1,4,x,79,435.93
1,s,1,4,x,80,439.5
1,s,1,4,x,81,443.07
